country,population
Burundi,10199
Comoros,777
Djibouti,927
Eritrea,4847
Ethiopia,99873
Kenya,47236
Madagascar,24234
Malawi,17574
Mauritius,1259
Mayotte,240
Mozambique,28011
Réunion,863
Rwanda,11630
Seychelles,94
Somalia,13908
South Sudan,11882
Uganda,40145
United Republic of Tanzania,53880
Zambia,16101
Zimbabwe,15777
Angola,27859
Cameroon,22835
Central African Republic,4546
Chad,14009
Congo,4996
Democratic Republic of the Congo,76197
Equatorial Guinea,1175
Gabon,1930
Sao Tome and Principe,196
Algeria,39872
Egypt,93778
Libya,6235
Morocco,34803
Sudan,38648
Tunisia,11274
Western Sahara,526
Botswana,2209
Lesotho,2175
Namibia,2426
South Africa,55291
Swaziland,1319
Benin,10576
Burkina Faso,18111
Cabo Verde,533
Côte d'Ivoire,23108
Gambia,1978
Ghana,27583
Guinea,12092
Guinea-Bissau,1771
Liberia,4500
Mali,17468
Mauritania,4182
Niger,19897
Nigeria,181182
Saint Helena,4
Senegal,14977
Sierra Leone,7237
Togo,7417
China,1397029
China Hong Kong SAR,7246
China Macao SAR,601
China Taiwan Province of China,23486
Dem. People's Republic of Korea,25244
Japan,127975
Mongolia,2977
Republic of Korea,50594
Kazakhstan,17750
Kyrgyzstan,5865
Tajikistan,8549
Turkmenistan,5565
Uzbekistan,30976
Afghanistan,33736
Bangladesh,161201
Bhutan,787
India,1309054
Iran (Islamic Republic of),79360
Maldives,418
Nepal,28656
Pakistan,189381
Sri Lanka,20714
Brunei Darussalam,418
Cambodia,15518
Indonesia,258162
Lao People's Democratic Republic,6664
Malaysia,30723
Myanmar,52404
Philippines,101716
Singapore,5535
Thailand,68658
Timor-Leste,1241
Viet Nam,93572
Armenia,2917
Azerbaijan,9617
Bahrain,1372
Cyprus,1161
Georgia,3952
Iraq,36116
Israel,8065
Jordan,9159
Kuwait,3936
Lebanon,5851
Oman,4200
Qatar,2482
Saudi Arabia,31557
State of Palestine,4663
Syrian Arab Republic,18735
Turkey,78271
United Arab Emirates,9154
Yemen,26916
Belarus,9486
Bulgaria,7177
Czechia,10604
Hungary,9784
Poland,38265
Republic of Moldova,4066
Romania,19877
Russian Federation,143888
Slovakia,5439
Ukraine,44658
Channel Islands,164
Denmark,5689
Estonia,1315
Faeroe Islands,49
Finland,5482
Iceland,330
Ireland,4700
Isle of Man,83
Latvia,1993
Lithuania,2932
Norway,5200
Sweden,9764
United Kingdom,65397
Albania,2923
Andorra,78
Bosnia and Herzegovina,3536
Croatia,4236
Gibraltar,34
Greece,11218
Holy See,1
Italy,59504
Malta,428
Montenegro,628
Portugal,10418
San Marino,33
Serbia,8851
Slovenia,2075
Spain,46398
TFYR Macedonia,2079
Austria,8679
Belgium,11288
France,64457
Germany,81708
Liechtenstein,37
Luxembourg,567
Monaco,38
Netherlands,16938
Switzerland,8320
Anguilla,15
Antigua and Barbuda,100
Aruba,104
Bahamas,387
Barbados,284
British Virgin Islands,30
Caribbean Netherlands,25
Cayman Islands,60
Cuba,11461
Curaçao,158
Dominica,73
Dominican Republic,10528
Grenada,107
Guadeloupe,450
Haiti,10711
Jamaica,2872
Martinique,386
Montserrat,5
Puerto Rico,3674
Saint Kitts and Nevis,54
Saint Lucia,177
Saint Vincent and the Grenadines,109
Sint Maarten (Dutch part),39
Trinidad and Tobago,1360
Turks and Caicos Islands,34
United States Virgin Islands,105
Belize,359
Costa Rica,4808
El Salvador,6312
Guatemala,16252
Honduras,8961
Mexico,125891
Nicaragua,6082
Panama,3969
Argentina,43418
Bolivia (Plurinational State of),10725
Brazil,205962
Chile,17763
Colombia,48229
Ecuador,16144
Falkland Islands (Malvinas),3
French Guiana,269
Guyana,769
Paraguay,6639
Peru,31377
Suriname,553
Uruguay,3432
Venezuela (Bolivarian Republic of),31155
Bermuda,62
Canada,35950
Greenland,56
Saint Pierre and Miquelon,6
United States of America,319929
Australia,23800
New Zealand,4615
Fiji,892
New Caledonia,269
Papua New Guinea,7920
Solomon Islands,587
Vanuatu,265
Guam,162
Kiribati,112
Marshall Islands,53
Micronesia (Fed. States of),104
Nauru,11
Northern Mariana Islands,55
Palau,21
American Samoa,56
Cook Islands,17
French Polynesia,278
Niue,2
Samoa,194
Tokelau,1
Tonga,106
Tuvalu,11
Wallis and Futuna Islands,12
